f,u,n,d,a,$,COPY	f,u,n,d,a
p,h,u,m,a,$,V,SG,1,PST+RCT	n,g,i,p,h,u,m,e
p,h,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,m,a
z,w,a,$,COPY	z,w,a
z,w,a,$,V,SG,1,PST+RCT	n,g,i,z,w,e
z,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,w,a
z,w,a,$,V,SG,1,PST+RMT	n,g,a,z,w,a
z,w,a,$,V,SG,1,PRS	n,g,i,y,e,z,w,a
z,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,a,l,a, ,p,h,a,n,s,i,$,COPY	l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,a, ,p,h,a,n,s,i
l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,l,a,l,a, ,p,h,a,n,s,i
v,u,l,a,$,COPY	v,u,l,a
v,u,l,a,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
v,u,l,a,$,V,SG,1,PRS	n,g,i,v,u,l,a
v,u,l,a,$,V,SG,1,PST+RMT	n,g,a,v,u,l,a
v,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,u,l,a
v,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,l,a
v,u,m,a,$,COPY	v,u,m,a
v,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,v,u,m,a
v,u,m,a,$,V,SG,1,PST+RMT	n,g,a,v,u,m,a
v,u,m,a,$,V,SG,1,PRS	n,g,i,v,u,m,a
v,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,m,a
v,u,m,a,$,V,SG,1,PST+RCT	n,g,i,v,u,m,e
a,w,n,h,z,$,COPY	a,w,n,h,z
a,w,n,h,z,$,V,SG,1,FUT	n,g,i,y,o,a,w,n,h,z
f,u,n,d,a,$,V,SG,1,PRS	n,g,i,f,u,n,d,a
p,z,n,d,a,$,COPY	p,z,n,d,a
p,z,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,z,n,d,a
v,g,n,d,a,$,COPY	v,g,n,d,a
v,g,n,d,a,$,V,SG,1,PST+RCT	n,g,i,v,g,n,d,e
e,u,n,k,a,$,COPY	e,u,n,k,a
e,u,n,k,a,$,V,SG,1,PST+RMT	n,g,a,e,u,n,k,a
p,h,i,n,c,a,$,COPY	p,h,i,n,c,a
p,h,i,n,c,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,n,c,a
p,m,b,p,d,a,$,COPY	p,m,b,p,d,a
p,m,b,p,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,m,b,p,d,a
p,l,w,j,d,a,$,COPY	p,l,w,j,d,a
p,l,w,j,d,a,$,V,SG,1,FUT	n,g,i,y,o,p,l,w,j,d,a
p,b,i,n,p,a,$,COPY	p,b,i,n,p,a
p,b,i,n,p,a,$,V,SG,1,PRS	n,g,i,p,b,i,n,p,a
m,h,z,v,d,a,$,COPY	m,h,z,v,d,a
m,h,z,v,d,a,$,V,SG,1,PST+RCT	n,g,i,m,h,z,v,d,e
v,p,h,a,$,COPY	v,p,h,a
v,p,h,a,$,V,SG,1,PST+RCT	n,g,i,v,p,h,e
v,q,l,a,$,COPY	v,q,l,a
v,q,l,a,$,V,SG,1,PRS	n,g,i,v,q,l,a
v,a,l,p,$,COPY	v,a,l,p
v,a,l,p,$,V,SG,1,PST+RMT	n,g,a,v,a,l,p
v,j,m,a,$,COPY	v,j,m,a
v,j,m,a,$,V,SG,1,FUT	n,g,i,y,o,v,j,m,a
v,a,y,d,$,COPY	v,a,y,d
v,a,y,d,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,y,d
k,j,u,s,c,e,l,a,$,COPY	k,j,u,s,c,e,l,a
k,j,u,s,c,e,l,a,$,V,SG,1,PST+RCT	n,g,i,k,j,u,s,c,e,l,e
k,h,u,k,b,u,u,a,$,COPY	k,h,u,k,b,u,u,a
k,h,u,k,b,u,u,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,k,b,u,u,a
k,h,a,e,z,m,l,a,$,COPY	k,h,a,e,z,m,l,a
k,h,a,e,z,m,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,a,e,z,m,l,a
k,h,u,m,o,u,v,a,$,COPY	k,h,u,m,o,u,v,a
k,h,u,m,o,u,v,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,m,o,u,v,a
k,e,l,u,s,u,l,a,$,COPY	k,e,l,u,s,u,l,a
k,e,l,u,s,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,e,l,u,s,u,l,a
t,u,k,n,g,a,$,COPY	t,u,k,n,g,a
t,u,k,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,u,k,n,g,a
l,h,e,c,g,a,$,COPY	l,h,e,c,g,a
l,h,e,c,g,a,$,V,SG,1,PST+RCT	n,g,i,l,h,e,c,g,e
t,h,e,s,g,a,$,COPY	t,h,e,s,g,a
t,h,e,s,g,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,s,g,a
t,h,y,k,g,a,$,COPY	t,h,y,k,g,a
t,h,y,k,g,a,$,V,SG,1,PRS	n,g,i,t,h,y,k,g,a
t,h,o,p,g,a,$,COPY	t,h,o,p,g,a
t,h,o,p,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,o,p,g,a
m,e,i,a,$,COPY	m,e,i,a
m,e,i,a,$,V,SG,1,PRS	n,g,i,m,e,i,a
m,e,w,a,$,COPY	m,e,w,a
m,e,w,a,$,V,SG,1,PST+RMT	n,g,a,m,e,w,a
m,w,m,a,$,COPY	m,w,m,a
m,w,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,w,m,a
m,y,t,a,$,COPY	m,y,t,a
m,y,t,a,$,V,SG,1,PST+RCT	n,g,i,m,y,t,e
o,n,w,d,$,COPY	o,n,w,d
o,n,w,d,$,V,SG,1,FUT	n,g,i,y,o,o,n,w,d
n,q,o,b,a,$,V,SG,1,PRS	n,g,i,y,a,n,q,o,b,a
h,m,o,b,a,$,COPY	h,m,o,b,a
h,m,o,b,a,$,V,SG,1,PST+RMT	n,g,a,h,m,o,b,a
n,w,o,s,a,$,COPY	n,w,o,s,a
n,w,o,s,a,$,V,SG,1,FUT	n,g,i,y,o,n,w,o,s,a
n,q,i,z,a,$,COPY	n,q,i,z,a
n,q,i,z,a,$,V,SG,1,PST+RCT	n,g,i,n,q,i,z,e
n,z,c,w,a,$,COPY	n,z,c,w,a
n,z,c,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,z,c,w,a
s,h,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,o
s,h,y,$,COPY	s,h,y
s,h,y,$,V,SG,1,PRS	n,g,i,y,a,s,h,y
i,h,o,$,COPY	i,h,o
i,h,o,$,V,SG,1,FUT	n,g,i,y,o,i,h,o
z,f,o,$,COPY	z,f,o
z,f,o,$,V,SG,1,PST+RMT	n,g,a,z,f,o
t,h,n,q,q,a,$,COPY	t,h,n,q,q,a
t,h,n,q,q,a,$,V,SG,1,PRS	n,g,i,t,h,n,q,q,a
t,h,u,t,c,a,$,COPY	t,h,u,t,c,a
t,h,u,t,c,a,$,V,SG,1,PST+RCT	n,g,i,t,h,u,t,c,e
t,c,h,j,h,a,$,COPY	t,c,h,j,h,a
t,c,h,j,h,a,$,V,SG,1,PST+RMT	n,g,a,t,c,h,j,h,a
t,w,q,d,n,a,$,COPY	t,w,q,d,n,a
t,w,q,d,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,w,q,d,n,a
t,y,a,w,h,a,$,COPY	t,y,a,w,h,a
t,y,a,w,h,a,$,V,SG,1,FUT	n,g,i,y,o,t,y,a,w,h,a
l,i,n,c,a,$,COPY	l,i,n,c,a
l,i,n,c,a,$,V,SG,1,PST+RCT	n,g,i,l,i,n,c,e
l,n,c,u,a,$,COPY	l,n,c,u,a
l,n,c,u,a,$,V,SG,1,PRS	n,g,i,y,a,l,n,c,u,a
c,b,n,d,l,$,COPY	c,b,n,d,l
c,b,n,d,l,$,V,SG,1,PST+RMT	n,g,a,c,b,n,d,l
m,h,l,e,s,$,COPY	m,h,l,e,s
m,h,l,e,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,h,l,e,s
l,o,y,d,a,$,COPY	l,o,y,d,a
l,o,y,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,o,y,d,a
d,y,y,q,a,$,COPY	d,y,y,q,a
d,y,y,q,a,$,V,SG,1,PST+RMT	n,g,a,d,y,y,q,a
d,l,a,m,a,$,COPY	d,l,a,m,a
d,l,a,m,a,$,V,SG,1,PST+RCT	n,g,i,d,l,a,m,e
v,z,z,l,a,$,COPY	v,z,z,l,a
v,z,z,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,z,z,l,a
s,b,s,l,a,$,COPY	s,b,s,l,a
s,b,s,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,b,s,l,a
d,q,t,h,a,$,COPY	d,q,t,h,a
d,q,t,h,a,$,V,SG,1,PRS	n,g,i,d,q,t,h,a
d,o,l,v,$,COPY	d,o,l,v
d,o,l,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,o,l,v
v,a,l,d,$,COPY	v,a,l,d
v,a,l,d,$,V,SG,1,PST+RMT	n,g,a,v,a,l,d
o,y,l,j,$,COPY	o,y,l,j
o,y,l,j,$,V,SG,1,PRS	n,g,i,o,y,l,j
f,u,i,a,$,COPY	f,u,i,a
f,u,i,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,i,a
w,u,j,a,$,COPY	w,u,j,a
w,u,j,a,$,V,SG,1,PST+RCT	n,g,i,w,u,j,e
k,y,a,h,z,$,COPY	k,y,a,h,z
k,y,a,h,z,$,V,SG,1,PRS	n,g,i,y,a,k,y,a,h,z
k,h,y,l,y,$,COPY	k,h,y,l,y
k,h,y,l,y,$,V,SG,1,PST+RMT	n,g,a,k,h,y,l,y
k,b,g,l,e,$,COPY	k,b,g,l,e
k,b,g,l,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,b,g,l,e
k,y,a,l,a,$,COPY	k,y,a,l,a
k,y,a,l,a,$,V,SG,1,PST+RCT	n,g,i,k,y,a,l,e
z,o,t,l,a,$,COPY	z,o,t,l,a
z,o,t,l,a,$,V,SG,1,FUT	n,g,i,y,o,z,o,t,l,a
g,h,o,a,$,COPY	g,h,o,a
g,h,o,a,$,V,SG,1,PST+RCT	n,g,i,g,h,o,e
u,u,n,a,$,COPY	u,u,n,a
u,u,n,a,$,V,SG,1,PRS	n,g,i,u,u,n,a
f,u,n,h,$,COPY	f,u,n,h
f,u,n,h,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,h
v,l,n,l,$,COPY	v,l,n,l
v,l,n,l,$,V,SG,1,FUT	n,g,i,y,o,v,l,n,l
f,u,m,a,$,COPY	f,u,m,a
f,u,m,a,$,V,SG,1,PST+RMT	n,g,a,f,u,m,a
c,a,u,a,o,g,a,$,COPY	c,a,u,a,o,g,a
c,a,u,a,o,g,a,$,V,SG,1,PRS	n,g,i,c,a,u,a,o,g,a
c,a,m,c,w,w,a,$,COPY	c,a,m,c,w,w,a
c,a,m,c,w,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,m,c,w,w,a
c,s,b,a,n,g,a,$,COPY	c,s,b,a,n,g,a
c,s,b,a,n,g,a,$,V,SG,1,PST+RCT	n,g,i,c,s,b,a,n,g,e
c,c,b,n,n,f,a,$,COPY	c,c,b,n,n,f,a
c,c,b,n,n,f,a,$,V,SG,1,PST+RMT	n,g,a,c,c,b,n,n,f,a
c,a,b,e,w,g,a,$,COPY	c,a,b,e,w,g,a
c,a,b,e,w,g,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,e,w,g,a
u,l,e,l,a, ,p,h,z,i,o,i,$,COPY	u,l,e,l,a, ,p,h,z,i,o,i
u,l,e,l,a, ,p,h,z,i,o,i,$,V,SG,1,PST+RCT	n,g,i,u,l,e,l,e, ,p,h,z,i,o,i
d,z,a,l,i, ,p,h,a,u,s,i,$,COPY	d,z,a,l,i, ,p,h,a,u,s,i
d,z,a,l,i, ,p,h,a,u,s,i,$,V,SG,1,FUT	n,g,i,y,o,d,z,a,l,i, ,p,h,a,u,s,i
h,l,w,l,a, ,p,s,a,n,s,i,$,COPY	h,l,w,l,a, ,p,s,a,n,s,i
h,l,w,l,a, ,p,s,a,n,s,i,$,V,SG,1,PRS	n,g,i,h,l,w,l,a, ,p,s,a,n,s,i
h,l,a,l,a, ,p,j,n,a,n,i,$,COPY	h,l,a,l,a, ,p,j,n,a,n,i
h,l,a,l,a, ,p,j,n,a,n,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,l,a, ,p,j,n,a,n,i
h,l,a,d,o, ,p,k,f,n,s,i,$,COPY	h,l,a,d,o, ,p,k,f,n,s,i
h,l,a,d,o, ,p,k,f,n,s,i,$,V,SG,1,PST+RMT	n,g,a,h,l,a,d,o, ,p,k,f,n,s,i
t,h,j,i,k,$,COPY	t,h,j,i,k
t,h,j,i,k,$,V,SG,1,FUT	n,g,i,y,o,t,h,j,i,k
j,h,o,s,v,$,COPY	j,h,o,s,v
j,h,o,s,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,h,o,s,v
t,h,o,l,j,$,COPY	t,h,o,l,j
t,h,o,l,j,$,V,SG,1,PST+RMT	n,g,a,t,h,o,l,j
t,d,o,l,a,$,COPY	t,d,o,l,a
t,d,o,l,a,$,V,SG,1,PRS	n,g,i,t,d,o,l,a
b,h,o,q,a,$,COPY	b,h,o,q,a
b,h,o,q,a,$,V,SG,1,PST+RCT	n,g,i,b,h,o,q,e
l,w,l,e,l,a,$,COPY	l,w,l,e,l,a
l,w,l,e,l,a,$,V,SG,1,PST+RMT	n,g,a,l,w,l,e,l,a
l,a,n,i,b,a,$,COPY	l,a,n,i,b,a
l,a,n,i,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,n,i,b,a
l,a,o,v,e,a,$,COPY	l,a,o,v,e,a
l,a,o,v,e,a,$,V,SG,1,PRS	n,g,i,l,a,o,v,e,a
l,l,j,e,c,a,$,COPY	l,l,j,e,c,a
l,l,j,e,c,a,$,V,SG,1,FUT	n,g,i,y,o,l,l,j,e,c,a
m,a,l,k,n,a,$,COPY	m,a,l,k,n,a
m,a,l,k,n,a,$,V,SG,1,PST+RCT	n,g,i,m,a,l,k,n,e
b,h,u,g,a,$,COPY	b,h,u,g,a
b,h,u,g,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,u,g,a
t,h,u,m,a,$,V,SG,1,PST+RCT	n,g,i,t,h,u,m,e
i,d,u,m,a,$,COPY	i,d,u,m,a
i,d,u,m,a,$,V,SG,1,PST+RMT	n,g,a,i,d,u,m,a
z,i,u,y,a,$,COPY	z,i,u,y,a
z,i,u,y,a,$,V,SG,1,PRS	n,g,i,z,i,u,y,a
t,y,w,n,j,$,COPY	t,y,w,n,j
t,y,w,n,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,y,w,n,j
n,g,e,n,a,$,V,SG,1,PST+RCT	n,g,i,n,g,e,n,e
n,g,e,y,u,$,COPY	n,g,e,y,u
n,g,e,y,u,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,e,y,u
c,g,e,w,m,$,COPY	c,g,e,w,m
c,g,e,w,m,$,V,SG,1,PST+RMT	n,g,a,c,g,e,w,m
n,i,c,n,a,$,COPY	n,i,c,n,a
n,i,c,n,a,$,V,SG,1,FUT	n,g,i,y,o,n,i,c,n,a
n,b,e,d,z,$,COPY	n,b,e,d,z
n,b,e,d,z,$,V,SG,1,PRS	n,g,i,n,b,e,d,z
b,y,e,k,g,$,COPY	b,y,e,k,g
b,y,e,k,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,y,e,k,g
b,p,e,k,a,$,COPY	b,p,e,k,a
b,p,e,k,a,$,V,SG,1,PST+RCT	n,g,i,b,p,e,k,e
b,u,e,l,a,$,COPY	b,u,e,l,a
b,u,e,l,a,$,V,SG,1,PRS	n,g,i,b,u,e,l,a
b,h,y,k,a,$,COPY	b,h,y,k,a
b,h,y,k,a,$,V,SG,1,PST+RMT	n,g,a,b,h,y,k,a
b,m,f,k,a,$,COPY	b,m,f,k,a
b,m,f,k,a,$,V,SG,1,FUT	n,g,i,y,o,b,m,f,k,a
t,h,e,n,y,f,s,a,$,COPY	t,h,e,n,y,f,s,a
t,h,e,n,y,f,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,y,f,s,a
t,h,e,h,g,i,l,a,$,COPY	t,h,e,h,g,i,l,a
t,h,e,h,g,i,l,a,$,V,SG,1,PRS	n,g,i,t,h,e,h,g,i,l,a
t,h,e,d,k,i,i,a,$,COPY	t,h,e,d,k,i,i,a
t,h,e,d,k,i,i,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,d,k,i,i,a
t,l,d,n,k,e,s,a,$,COPY	t,l,d,n,k,e,s,a
t,l,d,n,k,e,s,a,$,V,SG,1,PST+RCT	n,g,i,t,l,d,n,k,e,s,e
t,t,y,v,g,v,s,a,$,COPY	t,t,y,v,g,v,s,a
t,t,y,v,g,v,s,a,$,V,SG,1,PST+RMT	n,g,a,t,t,y,v,g,v,s,a
s,l,l,a,$,COPY	s,l,l,a
s,l,l,a,$,V,SG,1,FUT	n,g,i,y,o,s,l,l,a
s,c,y,m,$,COPY	s,c,y,m
s,c,y,m,$,V,SG,1,PST+RMT	n,g,a,s,c,y,m
t,a,m,a,$,COPY	t,a,m,a
t,a,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,a,m,a
s,a,l,k,$,COPY	s,a,l,k
s,a,l,k,$,V,SG,1,PRS	n,g,i,s,a,l,k
n,i,l,a,$,COPY	n,i,l,a
n,i,l,a,$,V,SG,1,PST+RCT	n,g,i,n,i,l,e
p,d,a,$,COPY	p,d,a
p,d,a,$,V,SG,1,PST+RMT	n,g,a,p,d,a
i,d,a,$,COPY	i,d,a
i,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,i,d,a
n,d,a,$,V,SG,1,PRS	n,g,i,n,d,a
n,n,a,$,COPY	n,n,a
n,n,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,n,n,a
s,h,n,e,f,i,a,$,COPY	s,h,n,e,f,i,a
s,h,n,e,f,i,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,n,e,f,i,a
s,v,d,f,f,z,a,$,COPY	s,v,d,f,f,z,a
s,v,d,f,f,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,v,d,f,f,z,a
s,e,v,e,l,j,a,$,COPY	s,e,v,e,l,j,a
s,e,v,e,l,j,a,$,V,SG,1,PST+RMT	n,g,a,s,e,v,e,l,j,a
s,z,b,e,n,z,a,$,COPY	s,z,b,e,n,z,a
s,z,b,e,n,z,a,$,V,SG,1,PRS	n,g,i,s,z,b,e,n,z,a
s,u,a,z,n,z,a,$,COPY	s,u,a,z,n,z,a
s,u,a,z,n,z,a,$,V,SG,1,PST+RCT	n,g,i,s,u,a,z,n,z,e
z,k,m,a,$,COPY	z,k,m,a
z,k,m,a,$,V,SG,1,PRS	n,g,i,z,k,m,a
z,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,a
f,i,k,p,$,COPY	f,i,k,p
f,i,k,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,f,i,k,p
z,z,s,a,$,COPY	z,z,s,a
z,z,s,a,$,V,SG,1,PST+RMT	n,g,a,z,z,s,a
e,i,s,a,$,COPY	e,i,s,a
e,i,s,a,$,V,SG,1,PST+RCT	n,g,i,y,a,e,i,s,e
n,f,l,y,a,$,COPY	n,f,l,y,a
n,f,l,y,a,$,V,SG,1,PRS	n,g,e,n,f,l,y,a
n,z,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,k,a
n,z,o,c,a,$,COPY	n,z,o,c,a
n,z,o,c,a,$,V,SG,1,PST+RCT	n,g,e,n,z,o,c,e
n,z,d,k,y,$,COPY	n,z,d,k,y
n,z,d,k,y,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,d,k,y
l,n,h,k,a,$,COPY	l,n,h,k,a
l,n,h,k,a,$,V,SG,1,PST+RMT	n,g,a,l,n,h,k,a
k,b,u,j,u,m,a,$,COPY	k,b,u,j,u,m,a
k,b,u,j,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,b,u,j,u,m,a
k,h,n,l,d,m,a,$,COPY	k,h,n,l,d,m,a
k,h,n,l,d,m,a,$,V,SG,1,PST+RCT	n,g,i,k,h,n,l,d,m,e
k,h,p,j,u,m,a,$,COPY	k,h,p,j,u,m,a
k,h,p,j,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,p,j,u,m,a
k,f,s,n,u,m,a,$,COPY	k,f,s,n,u,m,a
k,f,s,n,u,m,a,$,V,SG,1,PRS	n,g,i,k,f,s,n,u,m,a
k,e,i,l,u,s,a,$,COPY	k,e,i,l,u,s,a
k,e,i,l,u,s,a,$,V,SG,1,PST+RMT	n,g,a,k,e,i,l,u,s,a
m,u,y,e,m,a,$,COPY	m,u,y,e,m,a
m,u,y,e,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,y,e,m,a
m,u,k,z,l,a,$,COPY	m,u,k,z,l,a
m,u,k,z,l,a,$,V,SG,1,PRS	n,g,i,m,u,k,z,l,a
m,u,f,q,w,a,$,COPY	m,u,f,q,w,a
m,u,f,q,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,u,f,q,w,a
l,o,k,m,e,a,$,COPY	l,o,k,m,e,a
l,o,k,m,e,a,$,V,SG,1,PST+RCT	n,g,i,y,a,l,o,k,m,e,e
m,u,a,e,l,a,$,COPY	m,u,a,e,l,a
m,u,a,e,l,a,$,V,SG,1,PST+RMT	n,g,a,m,u,a,e,l,a
s,h,a,y,e,v,a,$,COPY	s,h,a,y,e,v,a
s,h,a,y,e,v,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,a,y,e,v,a
s,h,a,k,f,s,a,$,COPY	s,h,a,k,f,s,a
s,h,a,k,f,s,a,$,V,SG,1,PRS	n,g,i,s,h,a,k,f,s,a
s,h,i,y,e,l,a,$,COPY	s,h,i,y,e,l,a
s,h,i,y,e,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,i,y,e,l,e
s,l,v,y,n,l,a,$,COPY	s,l,v,y,n,l,a
s,l,v,y,n,l,a,$,V,SG,1,PST+RMT	n,g,a,s,l,v,y,n,l,a
s,p,a,t,f,l,a,$,COPY	s,p,a,t,f,l,a
s,p,a,t,f,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,p,a,t,f,l,a
n,a,k,a,$,V,SG,1,PRS	n,g,i,n,a,k,a
h,a,k,a,$,COPY	h,a,k,a
h,a,k,a,$,V,SG,1,PST+RCT	n,g,i,h,a,k,e
n,o,k,l,$,COPY	n,o,k,l
n,o,k,l,$,V,SG,1,FUT	n,g,i,y,o,n,o,k,l
w,b,k,a,$,COPY	w,b,k,a
w,b,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,b,k,a
n,h,s,m,$,COPY	n,h,s,m
n,h,s,m,$,V,SG,1,PST+RMT	n,g,a,n,h,s,m
l,q,o,a,$,COPY	l,q,o,a
l,q,o,a,$,V,SG,1,PST+RCT	n,g,i,l,q,o,e
q,g,v,a,$,COPY	q,g,v,a
q,g,v,a,$,V,SG,1,FUT	n,g,i,y,o,q,g,v,a
b,y,y,f,$,COPY	b,y,y,f
b,y,y,f,$,V,SG,1,PRS	n,g,i,b,y,y,f
l,g,i,s,$,COPY	l,g,i,s
l,g,i,s,$,V,SG,1,PST+RMT	n,g,a,l,g,i,s
w,o,j,z,$,COPY	w,o,j,z
w,o,j,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,o,j,z
f,a,k,a,$,V,SG,1,PRS	n,g,i,f,a,k,a
f,y,m,e,$,COPY	f,y,m,e
f,y,m,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,y,m,e
f,a,z,a,$,COPY	f,a,z,a
f,a,z,a,$,V,SG,1,PST+RCT	n,g,i,f,a,z,e
f,m,k,p,$,COPY	f,m,k,p
f,m,k,p,$,V,SG,1,PST+RMT	n,g,a,f,m,k,p
f,a,k,l,$,COPY	f,a,k,l
f,a,k,l,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,l
e,l,s,k,a,$,COPY	e,l,s,k,a
e,l,s,k,a,$,V,SG,1,PST+RCT	n,g,i,e,l,s,k,e
h,p,d,o,a,$,COPY	h,p,d,o,a
h,p,d,o,a,$,V,SG,1,PST+RMT	n,g,a,h,p,d,o,a
h,l,e,k,q,$,COPY	h,l,e,k,q
h,l,e,k,q,$,V,SG,1,FUT	n,g,i,y,o,h,l,e,k,q
t,l,b,k,z,$,COPY	t,l,b,k,z
t,l,b,k,z,$,V,SG,1,PRS	n,g,i,y,a,t,l,b,k,z
m,l,e,k,a,$,COPY	m,l,e,k,a
m,l,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,l,e,k,a
i,e,d,a,$,COPY	i,e,d,a
i,e,d,a,$,V,SG,1,PST+RMT	n,g,a,i,e,d,a
q,e,n,a,$,COPY	q,e,n,a
q,e,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,n,a
z,e,d,g,$,COPY	z,e,d,g
z,e,d,g,$,V,SG,1,FUT	n,g,i,y,o,z,e,d,g
k,e,s,z,$,COPY	k,e,s,z
k,e,s,z,$,V,SG,1,PRS	n,g,i,k,e,s,z
q,e,a,a,$,COPY	q,e,a,a
q,e,a,a,$,V,SG,1,PST+RCT	n,g,i,q,e,a,e
p,h,n,l,a,$,COPY	p,h,n,l,a
p,h,n,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,n,l,a
p,u,i,l,a,$,COPY	p,u,i,l,a
p,u,i,l,a,$,V,SG,1,PST+RCT	n,g,i,p,u,i,l,e
p,h,i,k,a,$,COPY	p,h,i,k,a
p,h,i,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,k,a
h,i,a,l,a,$,COPY	h,i,a,l,a
h,i,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,h,i,a,l,a
p,f,i,l,a,$,COPY	p,f,i,l,a
p,f,i,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,f,i,l,a
c,a,n,g,$,COPY	c,a,n,g
c,a,n,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,n,g
l,l,l,e,$,COPY	l,l,l,e
l,l,l,e,$,V,SG,1,FUT	n,g,i,y,o,l,l,l,e
e,m,z,t,$,COPY	e,m,z,t
e,m,z,t,$,V,SG,1,PST+RMT	n,g,a,e,m,z,t
l,d,l,a,$,COPY	l,d,l,a
l,d,l,a,$,V,SG,1,PRS	n,g,i,y,a,l,d,l,a
